ecoregion,month,occurrences,area,density,norm_occurrences
12,5,2,17.1336393373,0.11672943270411863,0.010810741280151618
12,6,2,17.1336393373,0.11672943270411863,0.015696829614339002
12,7,2,17.1336393373,0.11672943270411863,0.02930453578196278
16,4,2,7.95875071444,0.25129572112006093,8.022363516064686e-05
16,5,2980,7.95875071444,374.4306244688908,0.022602438504339448
16,6,3197,7.95875071444,401.6962102104174,0.035207739202788906
16,7,1776,7.95875071444,223.1506003546141,0.036514164323268865
16,8,455,7.95875071444,57.169776554813865,0.0277150666740861
16,9,142,7.95875071444,17.841996199524328,0.003633169727623303
22,10,3,3.34621568033,0.8965351569042147,0.16316164026234942
32,4,96,16.6378035498,5.769992397894011,0.005896264819222792
32,5,2869,16.6378035498,172.43862697456166,0.03331984609105048
32,6,1942,16.6378035498,116.7221378823976,0.03274749873807925
32,7,857,16.6378035498,51.50920296869966,0.02697942144812687
32,8,181,16.6378035498,10.878839833529334,0.01688171297697894
32,9,519,16.6378035498,31.194021401114497,0.020332842966921276
32,10,52,16.6378035498,3.125412548859256,0.00911461587714782
33,4,51,18.6748836532,2.7309407087663966,0.011992160813655757
33,5,809,18.6748836532,43.3202163410199,0.03597016913601564
33,6,382,18.6748836532,20.45528138723066,0.02466117649162309
33,7,153,18.6748836532,8.19282212629919,0.018440163232950724
33,8,63,18.6748836532,3.3735149931820194,0.022495725635598263
33,9,229,18.6748836532,12.262459260931468,0.034346916234661164
33,10,15,18.6748836532,0.8032178555195284,0.010065788617830019
34,4,268,16.4336202383,16.308031712659538,0.043112792505053545
34,5,685,16.4336202383,41.68284225064098,0.02083668479714085
34,8,23,16.4336202383,1.3995698857879453,0.005618642312460231
34,9,680,16.4336202383,41.3785879276436,0.06977587214839409
34,10,121,16.4336202383,7.362954616536582,0.055550248935690154
36,10,2,5.58756452327,0.357937701062921,0.16316164026234942
38,1,2,19.521012001,0.10245370475145174,7.372156878398961
38,11,3,19.521012001,0.1536805571271776,0.0282023642291559
49,4,6,1.51440720922,3.961946274074011,0.00175402034158399
49,5,784,1.51440720922,517.6943131456708,0.04333772691415054
49,6,73,1.51440720922,48.20367966790047,0.005859079571166714
49,7,30,1.51440720922,19.809731370370052,0.004495217322287935
49,8,49,1.51440720922,32.35589457160442,0.0217526235875755
49,9,402,1.51440720922,265.4504003629587,0.07496083736709006
49,10,25,1.51440720922,16.508109475308377,0.02085703947838652
56,4,225,1.92869111176,116.65942702182072,0.10353207161376038
56,5,227,1.92869111176,117.69639970645913,0.019750811030940986
56,9,11,1.92869111176,5.703349765511235,0.003228568997241471
56,10,34,1.92869111176,17.62853563885291,0.04464785327098496
66,5,3,0.239735268467,12.51380332640942,0.012972889536181944
66,9,2,0.239735268467,8.342535550939614,0.029174523484163845
73,5,29,8.06696551756,3.594908139482363,0.008589356085599915
73,6,83,8.06696551756,10.288875019897798,0.035694160492880475
73,7,29,8.06696551756,3.594908139482363,0.023283055826764945
73,8,5,8.06696551756,0.6198117481866143,0.011893183310591818
81,5,24,14.6539855788,1.637779692831207,0.006739163395419191
81,6,83,14.6539855788,5.6639881043745905,0.03383991838935422
81,7,44,14.6539855788,3.0025961035238793,0.03349089803652889
81,8,3,14.6539855788,0.20472246160390087,0.006765213363687294
93,5,138,40.6774120892,3.3925462046942636,0.008765465902825637
93,6,510,40.6774120892,12.5376707564788,0.04703515336846588
93,7,178,40.6774120892,4.375892930692601,0.030647516857751907
93,8,22,40.6774120892,0.5408406992990855,0.011222357459935642
93,9,3,40.6774120892,0.0737510044498753,0.0006427994304677698
111,10,3,2.60288959245,1.1525652139460187,0.16316164026234942
113,11,2,0.00791390618352,252.71970043880742,0.023501970190963246
117,9,4,7.49578161281,0.5336334763494384,0.04862420580693973
117,10,2,7.49578161281,0.2668167381747192,0.10877442684156628
124,5,8,28.0459889635,0.28524578007969237,0.010810741280151618
131,5,8,19.868732006,0.402642705009265,0.002789868717458482
131,6,55,19.868732006,2.768168596938697,0.02784921383189178
131,7,30,19.868732006,1.509910143784744,0.028359228176093015
133,5,230,33.9438946367,6.775887165031585,0.00808345414315628
133,6,800,33.9438946367,23.56830318271856,0.040824004198540965
133,7,450,33.9438946367,13.257170540279189,0.042870744804561926
133,8,52,33.9438946367,1.5319397068767062,0.01467702335728431
133,9,6,33.9438946367,0.17676227387038917,0.0007113424126502886
138,4,63,24.1736924333,2.6061388914345405,0.0037925940734204367
138,5,5016,24.1736924333,207.49829649897865,0.05709788625581883
138,6,387,24.1736924333,16.009138904526463,0.00639631639970583
138,7,209,24.1736924333,8.645762354124109,0.0064489374020775475
138,8,164,24.1736924333,6.78423457452801,0.014992423799049888
138,9,789,24.1736924333,32.63878706891829,0.030296873721990986
138,10,20,24.1736924333,0.827345679820489,0.003436015288316624
149,5,288,36.7793240461,7.830486488523133,0.037969432788825204
149,6,31,36.7793240461,0.8428648650840872,0.005934167293225722
149,7,9,36.7793240461,0.2447027027663479,0.003216351488264208
149,8,40,36.7793240461,1.087567567850435,0.042351335691375745
149,9,42,36.7793240461,1.1419459462429569,0.01867881076730002
152,1,17,161.003728408,0.10558761693344301,10.272677617441175
152,2,17,161.003728408,0.10558761693344301,12.768918800226016
152,11,14,161.003728408,0.08695450806283542,0.021575579191703966
152,12,13,161.003728408,0.08074347177263289,5.094269648633386
172,5,5,28.7327900993,0.17401721109297394,0.007050483443577142
172,6,15,28.7327900993,0.5220516332789218,0.030711188375880657
172,7,3,28.7327900993,0.10441032665578437,0.011466992262507174
173,5,13,15.113153628,0.8601778503670485,0.0036268293326960264
